learning_rate,batch_size,dropout,weight_decay,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.0001,16,0.3,1e-05,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.048666611313819885,0.9523809552192688,0.737500011920929,0.5,0.5,0.9750000238418579,0.5,0.048666611313819885,0.9523809552192688,0.737500011920929,0.5,0.5,0.9750000238418579,0.5
0.0001,16,0.3,0.0001,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.006867298856377602,0.380952388048172,0.4375,0.03846153989434242,0.5,0.375,0.0714285746216774,0.007354176603257656,0.523809552192688,0.512499988079071,0.05000000074505806,0.5,0.5249999761581421,0.09090909361839294
0.0001,16,0.3,0.001,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.1073489859700203,0.7857142686843872,0.6499999761581421,0.1111111119389534,0.5,0.800000011920929,0.1818181872367859,0.10758509486913681,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,16,0.5,1e-05,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.01863067038357258,0.7142857313156128,0.612500011920929,0.0833333358168602,0.5,0.7250000238418579,0.1428571492433548,0.01863067038357258,0.7142857313156128,0.612500011920929,0.0833333358168602,0.5,0.7250000238418579,0.1428571492433548
0.0001,16,0.5,0.0001,0.05000000074505806,0.738095223903656,0.862500011920929,0.1538461595773697,1.0,0.7250000238418579,0.2666666805744171,0.08016170561313629,0.9285714030265808,0.7250000238418579,0.3333333432674408,0.5,0.949999988079071,0.4000000059604645,0.06046604365110397,0.8571428656578064,0.6875,0.1666666716337204,0.5,0.875,0.25
0.0001,16,0.5,0.001,0.10000000149011612,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.129779651761055,0.9285714030265808,0.7250000238418579,0.3333333432674408,0.5,0.949999988079071,0.4000000059604645,0.0468389131128788,0.738095223903656,0.862500011920929,0.1538461595773697,1.0,0.7250000238418579,0.2666666805744171
0.0001,16,0.7,1e-05,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.04695213586091995,0.8333333134651184,0.9125000238418579,0.2222222238779068,1.0,0.824999988079071,0.3636363744735718,0.04695213586091995,0.8333333134651184,0.9125000238418579,0.2222222238779068,1.0,0.824999988079071,0.3636363744735718
0.0001,16,0.7,0.0001,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.009501002728939056,0.5952380895614624,0.550000011920929,0.05882352963089943,0.5,0.6000000238418579,0.10526315867900848,0.009501002728939056,0.5952380895614624,0.550000011920929,0.05882352963089943,0.5,0.6000000238418579,0.10526315867900848
0.0001,16,0.7,0.001,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.01727703958749771,0.8571428656578064,0.6875,0.1666666716337204,0.5,0.875,0.25,0.014598840847611427,0.6904761791229248,0.6000000238418579,0.07692307978868484,0.5,0.699999988079071,0.13333334028720856
0.0001,32,0.3,1e-05,0.10000000149011612,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.0874941274523735,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.0874941274523735,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,32,0.3,0.0001,0.10000000149011612,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.10084687918424606,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.10084687918424606,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
0.0001,32,0.3,0.001,0.10000000149011612,0.9285714030265808,0.7250000238418579,0.3333333432674408,0.5,0.949999988079071,0.4000000059604645,0.10515506565570831,0.9285714030265808,0.7250000238418579,0.3333333432674408,0.5,0.949999988079071,0.4000000059604645,0.06445737928152084,0.7857142686843872,0.887499988079071,0.1818181872367859,1.0,0.7749999761581421,0.3076923191547394
0.0001,32,0.5,1e-05,0.10000000149011612,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224,0.10628920048475266,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096,0.10628920048475266,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096
0.0001,32,0.5,0.0001,0.15000000596046448,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.15416476130485535,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.15416476130485535,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
0.0001,32,0.5,0.001,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.07394151389598846,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.07394151389598846,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,32,0.7,1e-05,0.05000000074505806,0.7142857313156128,0.8500000238418579,0.1428571492433548,1.0,0.699999988079071,0.25,0.04344337806105614,0.5952380895614624,0.7875000238418579,0.10526315867900848,1.0,0.574999988079071,0.190476194024086,0.06084182485938072,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224
0.0001,32,0.7,0.0001,0.10000000149011612,0.9285714030265808,0.7250000238418579,0.3333333432674408,0.5,0.949999988079071,0.4000000059604645,0.11614740639925003,0.9285714030265808,0.7250000238418579,0.3333333432674408,0.5,0.949999988079071,0.4000000059604645,0.08041343837976456,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
0.0001,32,0.7,0.001,0.10000000149011612,0.9285714030265808,0.7250000238418579,0.3333333432674408,0.5,0.949999988079071,0.4000000059604645,0.0755014568567276,0.761904776096344,0.875,0.1666666716337204,1.0,0.75,0.2857142984867096,0.0755014568567276,0.761904776096344,0.875,0.1666666716337204,1.0,0.75,0.2857142984867096
0.0001,64,0.3,1e-05,0.10000000149011612,0.9285714030265808,0.48750001192092896,0.0,0.0,0.9750000238418579,,0.1052660122513771,0.9285714030265808,0.48750001192092896,0.0,0.0,0.9750000238418579,,0.1052660122513771,0.9285714030265808,0.48750001192092896,0.0,0.0,0.9750000238418579,
0.0001,64,0.3,0.0001,0.10000000149011612,0.9285714030265808,0.48750001192092896,0.0,0.0,0.9750000238418579,,0.06327441334724426,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096,0.06327441334724426,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096
0.0001,64,0.3,0.001,0.05000000074505806,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.04431901499629021,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.03969796746969223,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,64,0.5,1e-05,0.10000000149011612,0.9523809552192688,0.737500011920929,0.5,0.5,0.9750000238418579,0.5,0.09018996357917786,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096,0.09018996357917786,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096
0.0001,64,0.5,0.0001,0.10000000149011612,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.0669572576880455,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.0669572576880455,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,64,0.5,0.001,0.05000000074505806,0.7142857313156128,0.8500000238418579,0.1428571492433548,1.0,0.699999988079071,0.25,0.061616092920303345,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224,0.061616092920303345,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224
