augmentation_techniques,p_augmentation,p_augmentation_per_technique,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
['shear'],0.5,0.5,0.349999994,0.809523821,0.662500024,0.125,0.5,0.824999988,0.200000003,0.317158192,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334,0.330321163,0.571428597,0.537500024,0.055555556,0.5,0.574999988,0.100000001
"['shear', 'flip']",0.5,0.5,0.300000012,0.571428597,0.774999976,0.100000001,1,0.550000012,0.181818187,0.295523524,0.476190478,0.725000024,0.083333336,1,0.449999988,0.15384616,0.303229123,0.642857134,0.8125,0.117647059,1,0.625,0.210526317
"['shear', 'brightness']",0.3,0.8,0.349999994,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.305318087,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334,0.337832659,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616
"['shear', 'gaussian_noise', 'brightness']",0.3,0.8,0.349999994,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.31903705,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334,0.340020865,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616
"['shear', 'gaussian_noise', 'brightness']",0.5,0.5,0.349999994,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.329908371,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149,0.329908371,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
['gaussian_noise'],0.5,0.8,0.349999994,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.32447204,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125,0.32447204,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
"['flip', 'brightness']",0.3,0.8,0.349999994,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.315132141,0.261904776,0.612500012,0.060606062,1,0.224999994,0.114285715,0.33256036,0.5,0.5,0.047619049,0.5,0.5,0.086956523
"['shear', 'flip']",0.3,0.5,0.300000012,0.547619045,0.762499988,0.095238097,1,0.524999976,0.173913047,0.303846896,0.642857134,0.574999988,0.06666667,0.5,0.649999976,0.117647059,0.303846896,0.642857134,0.574999988,0.06666667,0.5,0.649999976,0.117647059
"['shear', 'gaussian_noise']",0.5,0.5,0.349999994,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672,0.337988228,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.35589394,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672
"['flip', 'gaussian_noise']",0.5,0.5,0.349999994,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672,0.342111617,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334,0.342111617,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334
['gaussian_noise'],0.3,0.5,0.300000012,0.5,0.737500012,0.086956523,1,0.474999994,0.159999996,0.315968961,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.337178528,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672
