learning_rate,batch_size,dropout,weight_decay,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.0001,64,0.3,1e-05,0.15000000596046448,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.16612312197685242,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.11508656293153763,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224
0.0001,64,0.3,0.0001,0.20000000298023224,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.18851959705352783,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.15032605826854706,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224
0.0001,64,0.3,0.001,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.18339629471302032,0.7857142686843872,0.887499988079071,0.1818181872367859,1.0,0.7749999761581421,0.3076923191547394,0.18339629471302032,0.7857142686843872,0.887499988079071,0.1818181872367859,1.0,0.7749999761581421,0.3076923191547394
0.0001,64,0.5,1e-05,0.20000000298023224,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.16434474289417267,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.16434474289417267,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,64,0.5,0.0001,0.20000000298023224,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.14471937716007233,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.14471937716007233,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
0.0001,64,0.5,0.001,0.15000000596046448,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.12243606150150299,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224,0.12243606150150299,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224
0.0001,64,0.7,1e-05,0.25,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.16569757461547852,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.10402102023363113,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224
0.0001,64,0.7,0.0001,0.15000000596046448,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224,0.17922385036945343,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096,0.14583609998226166,0.8095238208770752,0.8999999761581421,0.20000000298023224,1.0,0.800000011920929,0.3333333432674408
0.0001,64,0.7,0.001,0.25,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.22211821377277374,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096,0.15533483028411865,0.761904776096344,0.637499988079071,0.10000000149011612,0.5,0.7749999761581421,0.1666666716337204
1e-05,16,0.3,1e-05,0.44999998807907104,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.43336570262908936,0.7142857313156128,0.8500000238418579,0.1428571492433548,1.0,0.699999988079071,0.25,0.43336570262908936,0.7142857313156128,0.8500000238418579,0.1428571492433548,1.0,0.699999988079071,0.25
