version,learning_rate,batch_size,dropout,weight_decay,num_layers,hidden_size,gamma_fl,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0,0.0001,2,0.3,0.0001,1,64,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.25181785225868225,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374,0.25181785225868225,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374
1,0.0001,2,0.3,0.0001,1,64,2,True,0.10000000149011612,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.08647595345973969,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.08647595345973969,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
2,0.0001,2,0.3,0.0001,1,64,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.28033447265625,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374,0.28033447265625,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374
3,0.0001,2,0.3,0.0001,1,64,3,True,0.20000000298023224,0.9166666865348816,0.625,1.0,0.25,1.0,0.4000000059604645,0.1382935643196106,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.1382935643196106,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
4,0.0001,2,0.3,0.0001,1,128,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.24001659452915192,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.24001659452915192,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394
5,0.0001,2,0.3,0.0001,1,128,2,True,0.10000000149011612,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.10499221086502075,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.0873209685087204,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
6,0.0001,2,0.3,0.0001,1,128,3,False,0.30000001192092896,0.75,0.53125,0.1428571492433548,0.25,0.8125,0.1818181872367859,0.2999104857444763,0.4444444477558136,0.46875,0.10000000149011612,0.5,0.4375,0.1666666716337204,0.2999104857444763,0.4444444477558136,0.46875,0.10000000149011612,0.5,0.4375,0.1666666716337204
7,0.0001,2,0.3,0.0001,1,128,3,True,0.10000000149011612,0.75,0.75,0.27272728085517883,0.75,0.75,0.4000000059604645,0.11221970617771149,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579,0.11221970617771149,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579
8,0.0001,2,0.3,0.0001,1,256,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.23240230977535248,0.8888888955116272,0.5,,0.0,1.0,,0.23240230977535248,0.8888888955116272,0.5,,0.0,1.0,
9,0.0001,2,0.3,0.0001,1,256,2,True,0.05000000074505806,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.04261009767651558,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.04261009767651558,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
10,0.0001,2,0.3,0.0001,1,256,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3067595362663269,0.7777777910232544,0.546875,0.1666666716337204,0.25,0.84375,0.20000000298023224,0.3065577745437622,0.5833333134651184,0.546875,0.13333334028720856,0.5,0.59375,0.21052631735801697
11,0.0001,2,0.3,0.0001,1,256,3,True,0.15000000596046448,0.8888888955116272,0.5,,0.0,1.0,,0.07990483194589615,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.07990483194589615,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816
12,0.0001,2,0.3,0.001,1,64,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.26280584931373596,0.3055555522441864,0.390625,0.07999999821186066,0.5,0.28125,0.13793103396892548,0.26280584931373596,0.3055555522441864,0.390625,0.07999999821186066,0.5,0.28125,0.13793103396892548
13,0.0001,2,0.3,0.001,1,64,2,True,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.23947909474372864,0.6944444179534912,0.390625,0.0,0.0,0.78125,,0.23947909474372864,0.6944444179534912,0.390625,0.0,0.0,0.78125,
14,0.0001,2,0.3,0.001,1,64,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3059026300907135,0.8611111044883728,0.484375,0.0,0.0,0.96875,,0.3059026300907135,0.8611111044883728,0.484375,0.0,0.0,0.96875,
15,0.0001,2,0.3,0.001,1,64,3,True,0.15000000596046448,0.7222222089767456,0.84375,0.2857142984867096,1.0,0.6875,0.4444444477558136,0.18241938948631287,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.18241938948631287,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
16,0.0001,2,0.3,0.001,1,128,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.21421876549720764,0.3888888955116272,0.4375,0.09090909361839294,0.5,0.375,0.1538461595773697,0.21425053477287292,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374
17,0.0001,2,0.3,0.001,1,128,2,True,0.10000000149011612,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.07728224247694016,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.07728224247694016,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816
18,0.0001,2,0.3,0.001,1,128,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2933900058269501,0.3611111044883728,0.53125,0.11999999731779099,0.75,0.3125,0.2068965584039688,0.2933938801288605,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394
19,0.0001,2,0.3,0.001,1,128,3,True,0.20000000298023224,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.16661383211612701,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.16661383211612701,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
20,0.0001,2,0.3,0.001,1,256,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.23262695968151093,0.3888888955116272,0.546875,0.125,0.75,0.34375,0.2142857164144516,0.2326362133026123,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
21,0.0001,2,0.3,0.001,1,256,2,True,0.05000000074505806,0.8611111044883728,0.8125,0.4285714328289032,0.75,0.875,0.5454545617103577,0.05048171430826187,0.8611111044883728,0.8125,0.4285714328289032,0.75,0.875,0.5454545617103577,0.056157488375902176,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
22,0.0001,2,0.3,0.001,1,256,3,False,0.30000001192092896,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3022792637348175,0.4444444477558136,0.359375,0.0555555559694767,0.25,0.46875,0.09090909361839294,0.3022792637348175,0.4444444477558136,0.359375,0.0555555559694767,0.25,0.46875,0.09090909361839294
23,0.0001,2,0.3,0.001,1,256,3,True,0.15000000596046448,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.10587479174137115,0.8611111044883728,0.8125,0.4285714328289032,0.75,0.875,0.5454545617103577,0.12901648879051208,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
24,0.0001,4,0.3,0.0001,1,64,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.23539844155311584,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2355756014585495,0.8611111044883728,0.484375,0.0,0.0,0.96875,
25,0.0001,4,0.3,0.0001,1,64,2,True,0.10000000149011612,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.09144796431064606,0.8611111044883728,0.8125,0.4285714328289032,0.75,0.875,0.5454545617103577,0.09144796431064606,0.8611111044883728,0.8125,0.4285714328289032,0.75,0.875,0.5454545617103577
26,0.0001,4,0.3,0.0001,1,64,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.30088645219802856,0.3333333432674408,0.515625,0.11538461595773697,0.75,0.28125,0.20000000298023224,0.3008915185928345,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
27,0.0001,4,0.3,0.0001,1,64,3,True,0.15000000596046448,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.13492998480796814,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75,0.13492998480796814,0.9444444179534912,0.859375,0.75,0.75,0.96875,0.75
28,0.0001,4,0.3,0.0001,1,128,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2529451847076416,0.8611111044883728,0.484375,0.0,0.0,0.96875,,0.2529451847076416,0.8611111044883728,0.484375,0.0,0.0,0.96875,
29,0.0001,4,0.3,0.0001,1,128,2,True,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.0702417716383934,0.8611111044883728,0.8125,0.4285714328289032,0.75,0.875,0.5454545617103577,0.07502073794603348,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
30,0.0001,4,0.3,0.0001,1,128,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.32220137119293213,0.6111111044883728,0.453125,0.0833333358168602,0.25,0.65625,0.125,0.32220137119293213,0.6111111044883728,0.453125,0.0833333358168602,0.25,0.65625,0.125
