learning_rate,batch_size,dropout,weight_decay,num_layers,hidden_size,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.0001,2,0.1,0.001,2,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4529903829097748,0.9523809552192688,0.737500011920929,0.5,0.5,0.9750000238418579,0.5,0.4530298113822937,0.9523809552192688,0.737500011920929,0.5,0.5,0.9750000238418579,0.5
0.0001,2,0.1,0.001,2,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4297321140766144,0.6666666865348816,0.5874999761581421,0.0714285746216774,0.5,0.675000011920929,0.125,0.42930132150650024,0.380952388048172,0.675000011920929,0.0714285746216774,1.0,0.3499999940395355,0.13333334028720856
0.0001,2,0.3,0.0001,1,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4742283821105957,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.4708854556083679,0.6904761791229248,0.8374999761581421,0.13333334028720856,1.0,0.675000011920929,0.23529411852359772
0.0001,2,0.3,0.0001,1,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.32323816418647766,0.8809523582458496,0.4625000059604645,0.0,0.0,0.925000011920929,,0.32363155484199524,0.9047619104385376,0.4749999940395355,0.0,0.0,0.949999988079071,
0.0001,2,0.3,0.0001,1,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.3758668899536133,0.4523809552192688,0.7124999761581421,0.07999999821186066,1.0,0.42500001192092896,0.14814814925193787,0.3764563202857971,0.738095223903656,0.862500011920929,0.1538461595773697,1.0,0.7250000238418579,0.2666666805744171
0.0001,2,0.3,0.0001,2,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.13879407942295074,0.3095238208770752,0.637499988079071,0.06451612710952759,1.0,0.2750000059604645,0.12121212482452393,0.13943253457546234,0.4761904776096344,0.48750001192092896,0.04545454680919647,0.5,0.4749999940395355,0.0833333358168602
0.0001,2,0.3,0.0001,2,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.40810874104499817,0.4523809552192688,0.4749999940395355,0.043478261679410934,0.5,0.44999998807907104,0.07999999821186066,0.40842247009277344,0.738095223903656,0.625,0.09090909361839294,0.5,0.75,0.1538461595773697
0.0001,2,0.3,0.0001,2,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.11390525102615356,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096,0.11397714167833328,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
0.0001,2,0.3,0.001,1,64,0.3499999940395355,0.2857142984867096,0.38749998807907104,0.03333333507180214,0.5,0.2750000059604645,0.0625,0.34979933500289917,0.2142857164144516,0.5874999761581421,0.05714285746216774,1.0,0.17499999701976776,0.10810811072587967,0.35252639651298523,0.9047619104385376,0.4749999940395355,0.0,0.0,0.949999988079071,
0.0001,2,0.3,0.001,1,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.3217182457447052,0.5476190447807312,0.5249999761581421,0.05263157933950424,0.5,0.550000011920929,0.095238097012043,0.3245862126350403,0.8571428656578064,0.44999998807907104,0.0,0.0,0.8999999761581421,
0.0001,2,0.3,0.001,1,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.341342955827713,0.7857142686843872,0.4124999940395355,0.0,0.0,0.824999988079071,,0.341342955827713,0.7857142686843872,0.4124999940395355,0.0,0.0,0.824999988079071,
0.0001,2,0.3,0.001,2,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.467062771320343,0.3095238208770752,0.637499988079071,0.06451612710952759,1.0,0.2750000059604645,0.12121212482452393,0.467062771320343,0.3095238208770752,0.637499988079071,0.06451612710952759,1.0,0.2750000059604645,0.12121212482452393
0.0001,2,0.3,0.001,2,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.5186903476715088,0.9523809552192688,0.5,,0.0,1.0,,0.5186903476715088,0.9523809552192688,0.5,,0.0,1.0,
0.0001,2,0.3,0.001,2,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.0302241463214159,0.523809552192688,0.512499988079071,0.05000000074505806,0.5,0.5249999761581421,0.09090909361839294,0.0332929752767086,0.8571428656578064,0.44999998807907104,0.0,0.0,0.8999999761581421,
0.0001,2,0.5,0.0001,1,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.5025415420532227,0.5714285969734192,0.5375000238418579,0.0555555559694767,0.5,0.574999988079071,0.10000000149011612,0.5029301643371582,0.738095223903656,0.625,0.09090909361839294,0.5,0.75,0.1538461595773697
0.0001,2,0.5,0.0001,1,128,0.44999998807907104,0.8571428656578064,0.6875,0.1666666716337204,0.5,0.875,0.25,0.4490889608860016,0.7857142686843872,0.6499999761581421,0.1111111119389534,0.5,0.800000011920929,0.1818181872367859,0.4490889608860016,0.7857142686843872,0.6499999761581421,0.1111111119389534,0.5,0.800000011920929,0.1818181872367859
0.0001,2,0.5,0.0001,1,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4277404248714447,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096,0.42871150374412537,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
0.0001,2,0.5,0.0001,2,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.41943082213401794,0.761904776096344,0.637499988079071,0.10000000149011612,0.5,0.7749999761581421,0.1666666716337204,0.41969338059425354,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,2,0.5,0.0001,2,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.06572756916284561,0.5476190447807312,0.762499988079071,0.095238097012043,1.0,0.5249999761581421,0.17391304671764374,0.0666835606098175,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
