learning_rate,batch_size,dropout,weight_decay,gamma_fl,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
1e-05,8,0.3,0.0001,3,False,0.3499999940395355,0.7222222089767456,0.625,0.20000000298023224,0.5,0.75,0.2857142984867096,0.3444022238254547,0.3888888955116272,0.546875,0.125,0.75,0.34375,0.2142857164144516,0.34678587317466736,0.5555555820465088,0.53125,0.125,0.5,0.5625,0.20000000298023224
1e-05,8,0.5,0.001,2,True,0.25,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.258415549993515,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.2718338966369629,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25
1e-05,8,0.5,0.001,2,False,0.30000001192092896,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.2872239351272583,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.3175736665725708,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859
1e-05,8,0.5,0.001,3,True,0.3499999940395355,0.5833333134651184,0.546875,0.13333334028720856,0.5,0.59375,0.21052631735801697,0.3646979331970215,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171,0.3646979331970215,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171
1e-05,8,0.5,0.001,3,False,0.3499999940395355,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.3310495615005493,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.3345361053943634,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859
1e-05,8,0.5,0.0001,2,True,0.30000001192092896,0.5833333134651184,0.546875,0.13333334028720856,0.5,0.59375,0.21052631735801697,0.26301226019859314,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.26301226019859314,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
1e-05,8,0.5,0.0001,2,False,0.25,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.2403954267501831,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.2403954267501831,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
1e-05,8,0.5,0.0001,3,True,0.30000001192092896,0.1666666716337204,0.53125,0.11764705926179886,1.0,0.0625,0.21052631735801697,0.32642069458961487,0.2222222238779068,0.5625,0.125,1.0,0.125,0.2222222238779068,0.34677088260650635,0.25,0.46875,0.1034482792019844,0.75,0.1875,0.1818181872367859
1e-05,8,0.5,0.0001,3,False,0.30000001192092896,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.27254167199134827,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.2756793797016144,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394
1e-05,16,0.1,0.001,2,True,0.4000000059604645,0.5555555820465088,0.3125,0.0,0.0,0.625,,0.3950907588005066,0.4722222089767456,0.265625,0.0,0.0,0.53125,,0.3950907588005066,0.4722222089767456,0.265625,0.0,0.0,0.53125,
1e-05,16,0.1,0.001,2,False,0.25,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.23499444127082825,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.26435256004333496,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374
1e-05,16,0.1,0.001,3,True,0.30000001192092896,0.25,0.46875,0.1034482792019844,0.75,0.1875,0.1818181872367859,0.3240875005722046,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.3240875005722046,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885
1e-05,16,0.1,0.001,3,False,0.30000001192092896,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276,0.31867536902427673,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.31867536902427673,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197
1e-05,16,0.1,0.0001,2,True,0.30000001192092896,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276,0.2722739279270172,0.2222222238779068,0.453125,0.10000000149011612,0.75,0.15625,0.1764705926179886,0.2818009853363037,0.25,0.46875,0.1034482792019844,0.75,0.1875,0.1818181872367859
1e-05,16,0.1,0.0001,2,False,0.30000001192092896,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.2760680019855499,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.30745357275009155,0.5,0.5,0.1111111119389534,0.5,0.5,0.1818181872367859
1e-05,16,0.1,0.0001,3,True,0.44999998807907104,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.4188731014728546,0.7222222089767456,0.515625,0.125,0.25,0.78125,0.1666666716337204,0.4188731014728546,0.7222222089767456,0.515625,0.125,0.25,0.78125,0.1666666716337204
