version,learning_rate,batch_size,dropout,weight_decay,rnn_type,hidden_size,num_layers,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
10,0.0001,1,0.3,0.001,gru,256,1,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2290498912334442,0.1666666716337204,0.421875,0.09375,0.75,0.09375,0.1666666716337204,0.23673799633979797,0.4444444477558136,0.46875,0.10000000149011612,0.5,0.4375,0.1666666716337204
11,0.0001,1,0.3,0.001,gru,256,1,True,0.20000000298023224,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.21831683814525604,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.20721399784088135,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
12,0.0001,2,0.3,0.001,gru,64,1,False,0.25,0.8611111044883728,0.484375,0.0,0.0,0.96875,,0.1731039136648178,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.1731039136648178,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
13,0.0001,2,0.3,0.001,gru,64,1,True,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.22148512303829193,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.22148512303829193,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
14,0.0001,2,0.3,0.001,gru,128,1,False,0.25,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.2605174779891968,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.2605174779891968,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096
15,0.0001,2,0.3,0.001,gru,128,1,True,0.15000000596046448,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.15617625415325165,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.13194262981414795,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
16,0.0001,2,0.3,0.001,gru,256,1,False,0.20000000298023224,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.17374980449676514,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.17374980449676514,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394
17,0.0001,2,0.3,0.001,gru,256,1,True,0.05000000074505806,0.8055555820465088,0.78125,0.3333333432674408,0.75,0.8125,0.4615384638309479,0.05129951238632202,0.8055555820465088,0.78125,0.3333333432674408,0.75,0.8125,0.4615384638309479,0.05614659562706947,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579
18,0.0001,2,0.3,0.001,gru,64,1,False,0.25,0.6388888955116272,0.578125,0.1538461595773697,0.5,0.65625,0.23529411852359772,0.23958894610404968,0.6388888955116272,0.578125,0.1538461595773697,0.5,0.65625,0.23529411852359772,0.23958894610404968,0.6388888955116272,0.578125,0.1538461595773697,0.5,0.65625,0.23529411852359772
19,0.0001,2,0.3,0.001,gru,64,1,True,0.20000000298023224,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.2130211591720581,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.2130211591720581,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408
20,0.0001,2,0.3,0.001,gru,128,1,False,0.25,0.3611111044883728,0.53125,0.11999999731779099,0.75,0.3125,0.2068965584039688,0.2507942318916321,0.3611111044883728,0.53125,0.11999999731779099,0.75,0.3125,0.2068965584039688,0.25545644760131836,0.3333333432674408,0.40625,0.0833333358168602,0.5,0.3125,0.1428571492433548
21,0.0001,2,0.3,0.001,gru,128,1,True,0.20000000298023224,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.2051626741886139,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.19374796748161316,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
