version,learning_rate,batch_size,dropout,weight_decay,num_layers,hidden_size,gamma_fl,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
10,0.0001,2,0.3,0.0001,1,256,3,False,0.30000001192092896,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.30008411407470703,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3007510006427765,0.5555555820465088,0.53125,0.125,0.5,0.5625,0.20000000298023224
11,0.0001,2,0.3,0.0001,1,256,3,True,0.10000000149011612,0.8055555820465088,0.78125,0.3333333432674408,0.75,0.8125,0.4615384638309479,0.11143950372934341,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.11143950372934341,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816
12,0.0001,2,0.3,0.001,1,64,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2653900384902954,0.1944444477558136,0.21875,0.03703703731298447,0.25,0.1875,0.06451612710952759,0.26539215445518494,0.3888888955116272,0.328125,0.05000000074505806,0.25,0.40625,0.0833333358168602
13,0.0001,2,0.3,0.001,1,64,2,True,0.10000000149011612,0.8333333134651184,0.796875,0.375,0.75,0.84375,0.5,0.1086544319987297,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.11296611279249191,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
14,0.0001,2,0.3,0.001,1,64,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.27918991446495056,0.8888888955116272,0.5,,0.0,1.0,,0.27898234128952026,0.7222222089767456,0.40625,0.0,0.0,0.8125,
15,0.0001,2,0.3,0.001,1,64,3,True,0.15000000596046448,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.16224858164787292,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.16224858164787292,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
16,0.0001,2,0.3,0.001,1,128,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.24521338939666748,0.5277777910232544,0.40625,0.06666667014360428,0.25,0.5625,0.10526315867900848,0.24521338939666748,0.5277777910232544,0.40625,0.06666667014360428,0.25,0.5625,0.10526315867900848
17,0.0001,2,0.3,0.001,1,128,2,True,0.10000000149011612,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.09553597122430801,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.09553597122430801,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
18,0.0001,2,0.3,0.001,1,128,3,False,0.30000001192092896,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.299058198928833,0.75,0.640625,0.2222222238779068,0.5,0.78125,0.3076923191547394,0.299058198928833,0.75,0.640625,0.2222222238779068,0.5,0.78125,0.3076923191547394
19,0.0001,2,0.3,0.001,1,128,3,True,0.30000001192092896,0.8333333134651184,0.796875,0.375,0.75,0.84375,0.5,0.3020068109035492,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579,0.3020068109035492,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579
