version,learning_rate,batch_size,dropout,weight_decay,rnn_type,hidden_size,num_layers,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0,1e-05,1,0.1,0.001,gru,32,1,True,0.3499999940395355,0.3888888955116272,0.546875,0.125,0.75,0.34375,0.2142857164144516,0.37530234456062317,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171,0.37530234456062317,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171
1,1e-05,1,0.1,0.001,gru,64,1,True,0.3499999940395355,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.3115713596343994,0.6944444179534912,0.71875,0.23076923191547394,0.75,0.6875,0.3529411852359772,0.3115713596343994,0.6944444179534912,0.71875,0.23076923191547394,0.75,0.6875,0.3529411852359772
2,1e-05,1,0.1,0.001,gru,32,1,True,0.5,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.4719056487083435,0.75,0.53125,0.1428571492433548,0.25,0.8125,0.1818181872367859,0.42914873361587524,0.6111111044883728,0.5625,0.1428571492433548,0.5,0.625,0.2222222238779068
3,1e-05,1,0.1,0.001,gru,64,1,True,0.4000000059604645,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.3771805465221405,0.8055555820465088,0.671875,0.2857142984867096,0.5,0.84375,0.3636363744735718,0.3771805465221405,0.8055555820465088,0.671875,0.2857142984867096,0.5,0.84375,0.3636363744735718
4,1e-05,2,0.1,0.001,gru,32,1,True,0.30000001192092896,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.29954567551612854,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.21908541023731232,0.5833333134651184,0.65625,0.1764705926179886,0.75,0.5625,0.2857142984867096
5,1e-05,2,0.1,0.001,gru,64,1,True,0.30000001192092896,0.75,0.640625,0.2222222238779068,0.5,0.78125,0.3076923191547394,0.26377367973327637,0.5833333134651184,0.546875,0.13333334028720856,0.5,0.59375,0.21052631735801697,0.26377367973327637,0.5833333134651184,0.546875,0.13333334028720856,0.5,0.59375,0.21052631735801697
6,1e-05,2,0.1,0.001,gru,32,1,True,0.25,0.6388888955116272,0.6875,0.20000000298023224,0.75,0.625,0.31578946113586426,0.2442159205675125,0.6111111044883728,0.671875,0.1875,0.75,0.59375,0.30000001192092896,0.2442159205675125,0.6111111044883728,0.671875,0.1875,0.75,0.59375,0.30000001192092896
7,1e-05,2,0.1,0.001,gru,64,1,True,0.30000001192092896,0.5277777910232544,0.515625,0.11764705926179886,0.5,0.53125,0.190476194024086,0.24195623397827148,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197,0.31494423747062683,0.5833333134651184,0.546875,0.13333334028720856,0.5,0.59375,0.21052631735801697
