learning_rate,batch_size,dropout,weight_decay,gamma_fl,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.01,8,0.3,0.0001,3,0.15000000596046448,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.1972539871931076,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.1972539871931076,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25
0.01,8,0.3,0.001,2,0.15000000596046448,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.05555443838238716,0.8055555820465088,0.671875,0.2857142984867096,0.5,0.84375,0.3636363744735718,0.08510073274374008,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,8,0.3,0.001,3,0.20000000298023224,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.20231926441192627,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.20231926441192627,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25
0.01,8,0.3,0.01,2,0.30000001192092896,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.2797410488128662,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.28652065992355347,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
0.01,8,0.3,0.01,3,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.30900323390960693,0.75,0.640625,0.2222222238779068,0.5,0.78125,0.3076923191547394,0.32504355907440186,0.7777777910232544,0.65625,0.25,0.5,0.8125,0.3333333432674408
0.01,16,0.0,0.0001,2,0.10000000149011612,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.106436587870121,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.06024297699332237,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
0.01,16,0.0,0.0001,3,0.10000000149011612,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.09214578568935394,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.09214578568935394,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,16,0.0,0.001,2,0.15000000596046448,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.151881143450737,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.151881143450737,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
0.01,16,0.0,0.001,3,0.15000000596046448,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.16224229335784912,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.18851818144321442,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
0.01,16,0.0,0.01,2,0.30000001192092896,0.8055555820465088,0.78125,0.3333333432674408,0.75,0.8125,0.4615384638309479,0.3169490098953247,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.29495710134506226,0.7222222089767456,0.734375,0.25,0.75,0.71875,0.375
0.01,16,0.0,0.01,3,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3381234109401703,0.5555555820465088,0.75,0.20000000298023224,1.0,0.5,0.3333333432674408,0.3381234109401703,0.5555555820465088,0.75,0.20000000298023224,1.0,0.5,0.3333333432674408
0.01,16,0.1,0.0001,2,0.10000000149011612,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.10466369241476059,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.03319856524467468,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,16,0.1,0.0001,3,0.05000000074505806,0.7777777910232544,0.765625,0.30000001192092896,0.75,0.78125,0.4285714328289032,0.04180041700601578,0.75,0.75,0.27272728085517883,0.75,0.75,0.4000000059604645,0.05178729444742203,0.8611111044883728,0.8125,0.4285714328289032,0.75,0.875,0.5454545617103577
0.01,16,0.1,0.001,2,0.10000000149011612,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.09633278101682663,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.11539799720048904,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
0.01,16,0.1,0.001,3,0.25,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.2235921323299408,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.2235921323299408,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
0.01,16,0.1,0.01,2,0.25,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.25345176458358765,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.26569128036499023,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,16,0.1,0.01,3,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3373398184776306,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.3373398184776306,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645
0.01,16,0.3,0.0001,2,0.20000000298023224,0.8888888955116272,0.5,,0.0,1.0,,0.1015152707695961,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.1015152707695961,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408
0.01,16,0.3,0.0001,3,0.05000000074505806,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.08606985956430435,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.03262242302298546,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,16,0.3,0.001,2,0.05000000074505806,0.75,0.75,0.27272728085517883,0.75,0.75,0.4000000059604645,0.09791470319032669,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.09791470319032669,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
